keys,zh_CN,en
COMMISSION_HINT,方向键选择 · E 交付 · Esc 离开,Arrows to select · E to deliver · Esc to close
COMMISSION_TITLE,委托板,Request Board
DATE_FORMAT,第 {year} 年 {season} {day} 日,Year {year} {season} {day}
GAME_SUBTITLE,一个用 Godot 4 搭建的农场生活模拟原型,A farming-life prototype built with Godot 4
GAME_TITLE,牧场物语 · 复刻,Open Farm
HUD_FORECAST,明日 {weather},Tomorrow: {weather}
HUD_MONEY,{value}G,{value}G
HUD_STAMINA,体力,Stamina
HUD_TIME,{time},{time}
HUD_TOOL,手持,Equipped
INVENTORY_EMPTY,（空）,（empty）
INVENTORY_HINT,按 Tab 或 Esc 关闭,Press Tab or Esc to close
INVENTORY_TITLE,背包,Inventory
LOCALE_NAME_EN,English,English
LOCALE_NAME_ZH_CN,中文,中文
MENU_LOAD,读取进度,Load
MENU_MUSIC,音乐,Music
MENU_PAUSED,游戏已暂停,Paused
MENU_QUIT,退出,Quit
MENU_RESUME,继续游戏,Resume
MENU_SAVE,保存进度,Save
MENU_SFX,音效,Sound
MENU_TITLE,回到标题,Back to Title
MUSEUM_CAT_ALL,全部,All
MUSEUM_CAT_CROP,作物,Crops
MUSEUM_CAT_FOOD,食物,Food
MUSEUM_CAT_MATERIAL,素材,Materials
MUSEUM_CAT_SEED,种子,Seeds
MUSEUM_HINT,方向键选择 · A / D 换分类 · Esc 离开,Arrows to select · A / D switch list · Esc to close
MUSEUM_PROGRESS,已收集 {found} / {total},Collected {found} / {total}
MUSEUM_TITLE,博物馆图鉴,Museum Collection
MUSEUM_UNKNOWN,???,???
NOTIFY_AFFECTION_GAIN,{npc} 好感 +{amount},{npc} affection +{amount}
NOTIFY_ALREADY_GIFTED,今天已经给{npc}送过礼物了,Already gave {npc} a gift today
NOTIFY_ANIMALS_CONTENT,牲畜们今天都吃饱了,Everyone has eaten today
NOTIFY_ANIMAL_ALREADY_PETTED,{animal}今天很开心,{animal} is happy today
NOTIFY_ANIMAL_FED,喂饱了 {count} 只牲畜,Fed {count} animals
NOTIFY_ANIMAL_PETTED,摸了摸{animal} 好感 +{amount},Petted {animal} +{amount} affection
NOTIFY_ANIMAL_PLACED,把{animal}安置进{building},{animal} moved into the {building}
NOTIFY_ANIMAL_PRODUCT,收到了 {item} ×{count},Collected {item} x{count}
NOTIFY_AUTO_SAVED,已自动保存,Auto-saved
NOTIFY_CANNOT_TILL,这里不能翻地,Cannot till here
NOTIFY_CHILD_BORN,你们有了一个孩子！,A child is born to your family!
NOTIFY_COMMISSION_ALREADY,这个委托今天已经完成了,This request is already done today
NOTIFY_COMMISSION_DELIVERED,完成委托 {title}，获得 {reward}G,Finished {title} for {reward}G
NOTIFY_COMMISSION_INCOMPLETE,道具数量不够,Not enough items
NOTIFY_CONFESSED,你和{npc}开始交往了！,You are now dating {npc}!
NOTIFY_CROP_DIED,作物枯死了,A crop withered
NOTIFY_CROP_HARVESTED,收获了 {item} ×{count},Harvested {item} x{count}
NOTIFY_FESTIVAL_ALREADY,今年已经参加过{festival}了,Already joined the {festival} this year
NOTIFY_FESTIVAL_ATTENDED,参加了{festival}，大家的好感 +{amount},Joined the {festival}! Everyone +{amount} affection
